"Sequence","Cluster"
"CA441846.1 UI-H-ED0-axl-d-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-03-0-UI 3', mRNA sequence",154
"CA441845.1 UI-H-ED0-axl-b-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-23-0-UI 3', mRNA sequence",155
"CA441844.1 UI-H-ED0-axl-b-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-21-0-UI 3', mRNA sequence",57
"CA441843.1 UI-H-ED0-axl-b-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-19-0-UI 3', mRNA sequence",156
"CA441842.1 UI-H-ED0-axl-b-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-17-0-UI 3', mRNA sequence",135
"CA441841.1 UI-H-ED0-axl-b-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-15-0-UI 3', mRNA sequence",157
"CA441840.1 UI-H-ED0-axl-b-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-13-0-UI 3', mRNA sequence",158
"CA441839.1 UI-H-ED0-axl-b-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-11-0-UI 3', mRNA sequence",159
"CA441838.1 UI-H-ED0-axl-b-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-07-0-UI 3', mRNA sequence",160
"CA441837.1 UI-H-ED0-axl-b-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-05-0-UI 3', mRNA sequence",161
"CA441836.1 UI-H-ED0-axl-b-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-03-0-UI 3', mRNA sequence",44
"CA441835.1 UI-H-ED0-axl-b-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-01-0-UI 3', mRNA sequence",162
"CA441834.1 UI-H-ED0-axl-o-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-24-0-UI 3', mRNA sequence",163
"CA441833.1 UI-H-ED0-axl-o-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-22-0-UI 3', mRNA sequence",164
"CA441832.1 UI-H-ED0-axl-o-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-20-0-UI 3', mRNA sequence",165
"CA441831.1 UI-H-ED0-axl-o-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-16-0-UI 3', mRNA sequence",166
"CA441830.1 UI-H-ED0-axl-o-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-14-0-UI 3', mRNA sequence",167
"CA441829.1 UI-H-ED0-axl-o-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-08-0-UI 3', mRNA sequence",168
"CA441828.1 UI-H-ED0-axl-o-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-04-0-UI 3', mRNA sequence",169
"CA441827.1 UI-H-ED0-axl-m-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-24-0-UI 3', mRNA sequence",170
"CA441826.1 UI-H-ED0-axl-m-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-22-0-UI 3', mRNA sequence",171
"CA441825.1 UI-H-ED0-axl-m-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-20-0-UI 3', mRNA sequence",172
"CA441824.1 UI-H-ED0-axl-m-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-18-0-UI 3', mRNA sequence",173
"CA441823.1 UI-H-ED0-axl-m-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-14-0-UI 3', mRNA sequence",174
"CA441822.1 UI-H-ED0-axl-m-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-12-0-UI 3', mRNA sequence",175
"CA441821.1 UI-H-ED0-axl-m-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-10-0-UI 3', mRNA sequence",176
"CA441820.1 UI-H-ED0-axl-m-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-08-0-UI 3', mRNA sequence",160
"CA441819.1 UI-H-ED0-axl-m-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-06-0-UI 3', mRNA sequence",177
"CA441818.1 UI-H-ED0-axl-m-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-02-0-UI 3', mRNA sequence",95
"CA441817.1 UI-H-ED0-axl-k-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-22-0-UI 3', mRNA sequence",178
"CA441816.1 UI-H-ED0-axl-k-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-20-0-UI 3', mRNA sequence",179
"CA441815.1 UI-H-ED0-axl-k-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-18-0-UI 3', mRNA sequence",180
"CA441814.1 UI-H-ED0-axl-k-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-16-0-UI 3', mRNA sequence",181
"CA441813.1 UI-H-ED0-axl-k-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-12-0-UI 3', mRNA sequence",182
"CA441812.1 UI-H-ED0-axl-k-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-10-0-UI 3', mRNA sequence",183
"CA441811.1 UI-H-ED0-axl-k-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-08-0-UI 3', mRNA sequence",184
"CA441810.1 UI-H-ED0-axl-k-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-06-0-UI 3', mRNA sequence",185
"CA441809.1 UI-H-ED0-axl-k-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-04-0-UI 3', mRNA sequence",186
"CA441808.1 UI-H-ED0-axl-k-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-02-0-UI 3', mRNA sequence",187
"CA441807.1 UI-H-ED0-axl-i-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-22-0-UI 3', mRNA sequence",188
"CA441806.1 UI-H-ED0-axl-i-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-20-0-UI 3', mRNA sequence",189
"CA441805.1 UI-H-ED0-axl-i-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-18-0-UI 3', mRNA sequence",190
"CA441804.1 UI-H-ED0-axl-i-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-16-0-UI 3', mRNA sequence",191
"CA441803.1 UI-H-ED0-axl-i-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-14-0-UI 3', mRNA sequence",192
"CA441802.1 UI-H-ED0-axl-i-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-12-0-UI 3', mRNA sequence",193
"CA441801.1 UI-H-ED0-axl-i-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-06-0-UI 3', mRNA sequence",194
"CA441800.1 UI-H-ED0-axl-i-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-04-0-UI 3', mRNA sequence",88
"CA441799.1 UI-H-ED0-axl-i-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-02-0-UI 3', mRNA sequence",195
"CA441798.1 UI-H-ED0-axl-g-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-18-0-UI 3', mRNA sequence",196
"CA441797.1 UI-H-ED0-axl-g-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-16-0-UI 3', mRNA sequence",197
"CA441796.1 UI-H-ED0-axl-g-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-14-0-UI 3', mRNA sequence",198
"CA441795.1 UI-H-ED0-axl-g-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-12-0-UI 3', mRNA sequence",199
"CA441794.1 UI-H-ED0-axl-g-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-04-0-UI 3', mRNA sequence",200
"CA441793.1 UI-H-ED0-axl-g-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-02-0-UI 3', mRNA sequence",44
"CA441792.1 UI-H-ED0-axl-e-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-24-0-UI 3', mRNA sequence",201
"CA441791.1 UI-H-ED0-axl-e-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-20-0-UI 3', mRNA sequence",202
"CA441790.1 UI-H-ED0-axl-e-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-18-0-UI 3', mRNA sequence",203
"CA441789.1 UI-H-ED0-axl-e-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-16-0-UI 3', mRNA sequence",204
"CA441788.1 UI-H-ED0-axl-e-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-14-0-UI 3', mRNA sequence",205
"CA441787.1 UI-H-ED0-axl-e-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-12-0-UI 3', mRNA sequence",206
"CA441786.1 UI-H-ED0-axl-e-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-10-0-UI 3', mRNA sequence",207
"CA441785.1 UI-H-ED0-axl-e-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-08-0-UI 3', mRNA sequence",208
"CA441784.1 UI-H-ED0-axl-e-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-06-0-UI 3', mRNA sequence",209
"CA441783.1 UI-H-ED0-axl-e-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-04-0-UI 3', mRNA sequence",210
"CA441782.1 UI-H-ED0-axl-e-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-02-0-UI 3', mRNA sequence",211
"CA441781.1 UI-H-ED0-axl-c-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-24-0-UI 3', mRNA sequence",212
"CA441780.1 UI-H-ED0-axl-c-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-20-0-UI 3', mRNA sequence",213
"CA441779.1 UI-H-ED0-axl-c-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-14-0-UI 3', mRNA sequence",214
"CA441778.1 UI-H-ED0-axl-c-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-12-0-UI 3', mRNA sequence",215
"CA441770.1 UI-H-ED0-axl-c-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-08-0-UI 3', mRNA sequence",216
"CA441769.1 UI-H-ED0-axl-c-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-06-0-UI 3', mRNA sequence",217
"CA441768.1 UI-H-ED0-axl-c-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-04-0-UI 3', mRNA sequence",218
"CA441767.1 UI-H-ED0-axl-c-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-02-0-UI 3', mRNA sequence",219
"CA441766.1 UI-H-ED0-axl-a-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-24-0-UI 3', mRNA sequence",220
"CA441765.1 UI-H-ED0-axl-a-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-22-0-UI 3', mRNA sequence",221
"CA441764.1 UI-H-ED0-axl-a-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-20-0-UI 3', mRNA sequence",110
"CA441777.1 UI-H-ED0-axl-a-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-16-0-UI 3', mRNA sequence",222
"CA441776.1 UI-H-ED0-axl-a-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-14-0-UI 3', mRNA sequence",223
"CA441775.1 UI-H-ED0-axl-a-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-12-0-UI 3', mRNA sequence",224
"CA441774.1 UI-H-ED0-axl-a-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-08-0-UI 3', mRNA sequence",225
"CA441773.1 UI-H-ED0-axl-a-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-06-0-UI 3', mRNA sequence",163
"CA441772.1 UI-H-ED0-axl-a-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-02-0-UI 3', mRNA sequence",226
"CA441771.1 UI-H-ED0-axl-o-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-23-0-UI 3', mRNA sequence",227
"CA441763.1 UI-H-ED0-axl-o-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-21-0-UI 3', mRNA sequence",228
"CA441762.1 UI-H-ED0-axl-o-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-19-0-UI 3', mRNA sequence",229
"CA441761.1 UI-H-ED0-axl-o-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-17-0-UI 3', mRNA sequence",230
"CA441760.1 UI-H-ED0-axl-o-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-15-0-UI 3', mRNA sequence",54
"CA441759.1 UI-H-ED0-axl-o-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-13-0-UI 3', mRNA sequence",231
"CA441758.1 UI-H-ED0-axl-o-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-09-0-UI 3', mRNA sequence",232
"CA441757.1 UI-H-ED0-axl-o-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-05-0-UI 3', mRNA sequence",233
"CA441756.1 UI-H-ED0-axl-o-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-o-03-0-UI 3', mRNA sequence",234
"CA441755.1 UI-H-ED0-axl-m-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-23-0-UI 3', mRNA sequence",235
"CA441754.1 UI-H-ED0-axl-m-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-19-0-UI 3', mRNA sequence",236
"CA441753.1 UI-H-ED0-axl-m-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-17-0-UI 3', mRNA sequence",237
"CA441752.1 UI-H-ED0-axl-m-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-13-0-UI 3', mRNA sequence",238
"CA441751.1 UI-H-ED0-axl-m-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-11-0-UI 3', mRNA sequence",239
"CA441750.1 UI-H-ED0-axl-m-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-09-0-UI 3', mRNA sequence",240
"CA441749.1 UI-H-ED0-axl-m-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-m-05-0-UI 3', mRNA sequence",241
"CA441748.1 UI-H-ED0-axl-k-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-23-0-UI 3', mRNA sequence",176
"CA441747.1 UI-H-ED0-axl-k-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-21-0-UI 3', mRNA sequence",44
"CA441746.1 UI-H-ED0-axl-k-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-19-0-UI 3', mRNA sequence",242
"CA441745.1 UI-H-ED0-axl-k-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-17-0-UI 3', mRNA sequence",243
"CA441744.1 UI-H-ED0-axl-k-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-15-0-UI 3', mRNA sequence",244
"CA441743.1 UI-H-ED0-axl-k-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-13-0-UI 3', mRNA sequence",245
"CA441742.1 UI-H-ED0-axl-k-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-03-0-UI 3', mRNA sequence",246
"CA441741.1 UI-H-ED0-axl-k-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-k-01-0-UI 3', mRNA sequence",247
"CA441740.1 UI-H-ED0-axl-i-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-23-0-UI 3', mRNA sequence",248
"CA441739.1 UI-H-ED0-axl-i-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-19-0-UI 3', mRNA sequence",142
"CA441738.1 UI-H-ED0-axl-i-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-17-0-UI 3', mRNA sequence",160
"CA441737.1 UI-H-ED0-axl-i-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-15-0-UI 3', mRNA sequence",249
"CA441736.1 UI-H-ED0-axl-i-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-13-0-UI 3', mRNA sequence",142
"CA441735.1 UI-H-ED0-axl-i-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-11-0-UI 3', mRNA sequence",250
"CA441734.1 UI-H-ED0-axl-i-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-09-0-UI 3', mRNA sequence",251
"CA441733.1 UI-H-ED0-axl-i-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-07-0-UI 3', mRNA sequence",252
"CA441732.1 UI-H-ED0-axl-i-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-05-0-UI 3', mRNA sequence",253
"CA441731.1 UI-H-ED0-axl-i-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-i-01-0-UI 3', mRNA sequence",254
"CA441730.1 UI-H-ED0-axl-g-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-23-0-UI 3', mRNA sequence",255
"CA441729.1 UI-H-ED0-axl-g-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-21-0-UI 3', mRNA sequence",172
"CA441728.1 UI-H-ED0-axl-g-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-19-0-UI 3', mRNA sequence",256
"CA441727.1 UI-H-ED0-axl-g-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-17-0-UI 3', mRNA sequence",257
"CA441726.1 UI-H-ED0-axl-g-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-15-0-UI 3', mRNA sequence",258
"CA441725.1 UI-H-ED0-axl-g-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-13-0-UI 3', mRNA sequence",259
"CA441724.1 UI-H-ED0-axl-g-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-11-0-UI 3', mRNA sequence",260
"CA441723.1 UI-H-ED0-axl-g-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-09-0-UI 3', mRNA sequence",261
"CA441722.1 UI-H-ED0-axl-g-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-05-0-UI 3', mRNA sequence",262
"CA441721.1 UI-H-ED0-axl-g-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-03-0-UI 3', mRNA sequence",263
"CA441720.1 UI-H-ED0-axl-g-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-g-01-0-UI 3', mRNA sequence",264
"CA441719.1 UI-H-ED0-axl-e-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-23-0-UI 3', mRNA sequence",265
"CA441718.1 UI-H-ED0-axl-e-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-21-0-UI 3', mRNA sequence",36
"CA441717.1 UI-H-ED0-axl-e-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-19-0-UI 3', mRNA sequence",266
"CA441716.1 UI-H-ED0-axl-e-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-17-0-UI 3', mRNA sequence",267
"CA441715.1 UI-H-ED0-axl-e-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-15-0-UI 3', mRNA sequence",268
"CA441714.1 UI-H-ED0-axl-e-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-13-0-UI 3', mRNA sequence",269
"CA441713.1 UI-H-ED0-axl-e-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-09-0-UI 3', mRNA sequence",270
"CA441712.1 UI-H-ED0-axl-e-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-07-0-UI 3', mRNA sequence",54
"CA441711.1 UI-H-ED0-axl-e-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-05-0-UI 3', mRNA sequence",271
"CA441710.1 UI-H-ED0-axl-e-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-03-0-UI 3', mRNA sequence",272
"CA441709.1 UI-H-ED0-axl-e-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-e-01-0-UI 3', mRNA sequence",224
"CA441708.1 UI-H-ED0-axl-c-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-23-0-UI 3', mRNA sequence",273
"CA441707.1 UI-H-ED0-axl-c-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-21-0-UI 3', mRNA sequence",274
"CA441706.1 UI-H-ED0-axl-c-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-19-0-UI 3', mRNA sequence",275
"CA441705.1 UI-H-ED0-axl-c-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-17-0-UI 3', mRNA sequence",160
"CA441704.1 UI-H-ED0-axl-c-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-15-0-UI 3', mRNA sequence",276
"CA441703.1 UI-H-ED0-axl-c-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-13-0-UI 3', mRNA sequence",277
"CA441702.1 UI-H-ED0-axl-c-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-11-0-UI 3', mRNA sequence",278
"CA441701.1 UI-H-ED0-axl-c-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-09-0-UI 3', mRNA sequence",279
"CA441700.1 UI-H-ED0-axl-c-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-07-0-UI 3', mRNA sequence",280
"CA441699.1 UI-H-ED0-axl-c-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-05-0-UI 3', mRNA sequence",281
"CA441698.1 UI-H-ED0-axl-c-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-03-0-UI 3', mRNA sequence",282
"CA441697.1 UI-H-ED0-axl-c-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-c-01-0-UI 3', mRNA sequence",283
"CA441696.1 UI-H-ED0-axl-a-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-23-0-UI 3', mRNA sequence",284
"CA441695.1 UI-H-ED0-axl-a-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-21-0-UI 3', mRNA sequence",285
"CA441694.1 UI-H-ED0-axl-a-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-a-17-0-UI 3', mRNA sequence",286
